title,productor
"Avatar","Ingenious Film Partners"
"Avatar","Twentieth Century Fox Film Corporation"
"Avatar","Dune Entertainment"
"Avatar","Lightstorm Entertainment"
"Spectre","Columbia Pictures"
"Spectre","Danjaq"
"Spectre","B24"
"The Dark Knight Rises","Legendary Pictures"
"The Dark Knight Rises","Warner Bros."
"The Dark Knight Rises","DC Entertainment"
"The Dark Knight Rises","Syncopy"
"John Carter","Walt Disney Pictures"
"Spider-Man 3","Columbia Pictures"
"Spider-Man 3","Laura Ziskin Productions"
"Spider-Man 3","Marvel Enterprises"
"Tangled","Walt Disney Pictures"
"Tangled","Walt Disney Animation Studios"
"Harry Potter and the Half-Blood Prince","Warner Bros."
"Harry Potter and the Half-Blood Prince","Heyday Films"
"Superman Returns","DC Comics"
"Superman Returns","Legendary Pictures"
"Superman Returns","Warner Bros."
"Superman Returns","Bad Hat Harry Productions"
"Quantum of Solace","Eon Productions"
"The Lone Ranger","Walt Disney Pictures"
"The Lone Ranger","Jerry Bruckheimer Films"
"The Lone Ranger","Infinitum Nihil"
"The Lone Ranger","Silver Bullet Productions (II)"
"The Lone Ranger","Blind Wink Productions"
"The Lone Ranger","Classic Media"
"Man of Steel","Legendary Pictures"
"Man of Steel","Warner Bros."
"Man of Steel","DC Entertainment"
"Man of Steel","Syncopy"
"Man of Steel","Cruel and Unusual Films"
"The Avengers","Paramount Pictures"
"The Avengers","Marvel Studios"
"Men in Black 3","Amblin Entertainment"
"Men in Black 3","Media Magik Entertainment"
"Men in Black 3","Imagenation Abu Dhabi FZ"
"Men in Black 3","Hemisphere Media Capital"
"Men in Black 3","Parkes/MacDonald Productions"
"The Amazing Spider-Man","Columbia Pictures"
"The Amazing Spider-Man","Laura Ziskin Productions"
"The Amazing Spider-Man","Marvel Entertainment"
"Robin Hood","Imagine Entertainment"
"Robin Hood","Universal Pictures"
"Robin Hood","Scott Free Productions"
"Robin Hood","Relativity Media"
"The Golden Compass","New Line Cinema"
"The Golden Compass","Ingenious Film Partners"
"The Golden Compass","Depth of Field"
"The Golden Compass","Scholastic Productions"
"King Kong","WingNut Films"
"King Kong","Universal Pictures"
"King Kong","Big Primate Pictures"
"King Kong","MFPV Film"
"Titanic","Paramount Pictures"
"Titanic","Twentieth Century Fox Film Corporation"
"Titanic","Lightstorm Entertainment"
"Battleship","Universal Pictures"
"Battleship","Hasbro"
"Battleship","Bluegrass Films"
"Battleship","Film 44"
"Jurassic World","Universal Studios"
"Jurassic World","Amblin Entertainment"
"Jurassic World","Legendary Pictures"
"Jurassic World","Fuji Television Network"
"Jurassic World","Dentsu"
"Skyfall","Columbia Pictures"
"Spider-Man 2","Columbia Pictures"
"Spider-Man 2","Laura Ziskin Productions"
"Spider-Man 2","Marvel Enterprises"
"Iron Man 3","Marvel Studios"
"Alice in Wonderland","Walt Disney Pictures"
"Alice in Wonderland","Team Todd"
"Alice in Wonderland","Tim Burton Productions"
"Alice in Wonderland","Roth Films"
"Alice in Wonderland","Zanuck Company, The"
"Monsters University","Walt Disney Pictures"
"Monsters University","Pixar Animation Studios"
"The Amazing Spider-Man 2","Columbia Pictures"
"The Amazing Spider-Man 2","Marvel Enterprises"
"The Amazing Spider-Man 2","Avi Arad Productions"
"The Amazing Spider-Man 2","Matt Tolmach Productions"
"Cars 2","Walt Disney Pictures"
"Cars 2","Pixar Animation Studios"
"Green Lantern","De Line Pictures"
"Green Lantern","Warner Bros."
"Green Lantern","DC Entertainment"
"Toy Story 3","Walt Disney Pictures"
"Toy Story 3","Pixar Animation Studios"
"Terminator Salvation","Columbia Pictures"
"Terminator Salvation","The Halcyon Company"
"Terminator Salvation","Wonderland Sound and Vision"
"Terminator Salvation","Warner Bros."
"Furious 7","Universal Pictures"
"Furious 7","Original Film"
"Furious 7","Fuji Television Network"
"Furious 7","Dentsu"
"Furious 7","One Race Films"
"Furious 7","China Film Co."
"Furious 7","Québec Production Services Tax Credit"
"Furious 7","Media Rights Capital (MRC)"
"Furious 7","Abu Dhabi Film Commission"
"Furious 7","Colorado Office of Film, Television & Media"
"World War Z","Paramount Pictures"
"World War Z","GK Films"
"World War Z","Skydance Productions"
"World War Z","Hemisphere Media Capital"
"World War Z","Apparatus Productions"
"World War Z","Latina Pictures"
"World War Z","2DUX²"
"Star Trek Into Darkness","Paramount Pictures"
"Star Trek Into Darkness","Skydance Productions"
"Star Trek Into Darkness","Bad Robot"
"Star Trek Into Darkness","Kurtzman/Orci"
"Jack the Giant Slayer","New Line Cinema"
"Jack the Giant Slayer","Original Film"
"Jack the Giant Slayer","Legendary Pictures"
"Jack the Giant Slayer","Warner Bros."
"Jack the Giant Slayer","Big Kid Pictures"
"Jack the Giant Slayer","Bad Hat Harry Productions"
"The Great Gatsby","Village Roadshow Pictures"
"The Great Gatsby","Bazmark Films"
"The Great Gatsby","Warner Bros."
"The Great Gatsby","A&E Television Networks"
"The Great Gatsby","Red Wagon Entertainment"
"The Great Gatsby","Spectrum Films"
"Pacific Rim","Legendary Pictures"
"Pacific Rim","Warner Bros."
"Pacific Rim","Disney Double Dare You (DDY)"
"Pacific Rim","Indochina Productions"
"Indiana Jones and the Kingdom of the Crystal Skull","Lucasfilm"
"Indiana Jones and the Kingdom of the Crystal Skull","Paramount Pictures"
"The Good Dinosaur","Walt Disney Pictures"
"The Good Dinosaur","Pixar Animation Studios"
"Brave","Walt Disney Pictures"
"Brave","Pixar Animation Studios"
"Star Trek Beyond","Paramount Pictures"
"Star Trek Beyond","Bad Robot"
"Star Trek Beyond","Perfect Storm Entertainment"
"Star Trek Beyond","Alibaba Pictures Group"
"Star Trek Beyond","Skydance Media"
"Star Trek Beyond","Sneaky Shark"
"Star Trek Beyond","Huahua Media"
"Rush Hour 3","New Line Cinema"
"2012","Columbia Pictures"
"2012","Centropolis Entertainment"
"2012","The Mark Gordon Company"
"2012","Farewell Productions"
"A Christmas Carol","Walt Disney"
"A Christmas Carol","ImageMovers"
"Jupiter Ascending","Village Roadshow Pictures"
"Jupiter Ascending","Dune Entertainment"
"Jupiter Ascending","Anarchos Productions"
"Jupiter Ascending","Warner Bros."
"The Legend of Tarzan","Village Roadshow Pictures"
"The Legend of Tarzan","Dark Horse Entertainment"
"The Legend of Tarzan","Jerry Weintraub Productions"
"The Legend of Tarzan","RatPac-Dune Entertainment"
"The Legend of Tarzan","Beagle Pug Films"
"The Legend of Tarzan","Riche Productions"
"The Legend of Tarzan","Village Roadshow Films North America"
"The Dark Knight","DC Comics"
"The Dark Knight","Legendary Pictures"
"The Dark Knight","Warner Bros."
"The Dark Knight","DC Entertainment"
"The Dark Knight","Syncopy"
"Up","Pixar Animation Studios"
"Monsters vs Aliens","DreamWorks Animation"
"Iron Man","Marvel Studios"
"Hugo","Paramount Pictures"
"Hugo","Infinitum Nihil"
"Hugo","GK Films"
