title,genre
"Avatar","Action"
"Avatar","Adventure"
"Avatar","Fantasy"
"Avatar","Science Fiction"
"Spectre","Action"
"Spectre","Adventure"
"Spectre","Crime"
"The Dark Knight Rises","Action"
"The Dark Knight Rises","Crime"
"The Dark Knight Rises","Drama"
"The Dark Knight Rises","Thriller"
"John Carter","Action"
"John Carter","Adventure"
"John Carter","Science Fiction"
"Spider-Man 3","Fantasy"
"Spider-Man 3","Action"
"Spider-Man 3","Adventure"
"Tangled","Animation"
"Tangled","Family"
"Harry Potter and the Half-Blood Prince","Adventure"
"Harry Potter and the Half-Blood Prince","Fantasy"
"Harry Potter and the Half-Blood Prince","Family"
"Superman Returns","Adventure"
"Superman Returns","Fantasy"
"Superman Returns","Action"
"Superman Returns","Science Fiction"
"Quantum of Solace","Adventure"
"Quantum of Solace","Action"
"Quantum of Solace","Thriller"
"Quantum of Solace","Crime"
"The Lone Ranger","Action"
"The Lone Ranger","Adventure"
"The Lone Ranger","Western"
"Man of Steel","Action"
"Man of Steel","Adventure"
"Man of Steel","Fantasy"
"Man of Steel","Science Fiction"
"The Avengers","Science Fiction"
"The Avengers","Action"
"The Avengers","Adventure"
"Men in Black 3","Action"
"Men in Black 3","Comedy"
"Men in Black 3","Science Fiction"
"The Amazing Spider-Man","Action"
"The Amazing Spider-Man","Adventure"
"The Amazing Spider-Man","Fantasy"
"Robin Hood","Action"
"Robin Hood","Adventure"
"The Golden Compass","Adventure"
"The Golden Compass","Fantasy"
"King Kong","Adventure"
"King Kong","Drama"
"King Kong","Action"
"Titanic","Drama"
"Titanic","Romance"
"Titanic","Thriller"
"Battleship","Thriller"
"Battleship","Action"
"Battleship","Adventure"
"Battleship","Science Fiction"
"Jurassic World","Action"
"Jurassic World","Adventure"
"Jurassic World","Science Fiction"
"Jurassic World","Thriller"
"Skyfall","Action"
"Skyfall","Adventure"
"Skyfall","Thriller"
"Spider-Man 2","Action"
"Spider-Man 2","Adventure"
"Spider-Man 2","Fantasy"
"Iron Man 3","Action"
"Iron Man 3","Adventure"
"Iron Man 3","Science Fiction"
"Alice in Wonderland","Family"
"Alice in Wonderland","Fantasy"
"Alice in Wonderland","Adventure"
"Monsters University","Animation"
"Monsters University","Family"
"The Amazing Spider-Man 2","Action"
"The Amazing Spider-Man 2","Adventure"
"The Amazing Spider-Man 2","Fantasy"
"Cars 2","Animation"
"Cars 2","Family"
"Cars 2","Adventure"
"Cars 2","Comedy"
"Green Lantern","Adventure"
"Green Lantern","Action"
"Green Lantern","Thriller"
"Green Lantern","Science Fiction"
"Toy Story 3","Animation"
"Toy Story 3","Family"
"Toy Story 3","Comedy"
"Terminator Salvation","Action"
"Terminator Salvation","Science Fiction"
"Terminator Salvation","Thriller"
"Furious 7","Action"
"World War Z","Action"
"World War Z","Drama"
"World War Z","Horror"
"World War Z","Science Fiction"
"World War Z","Thriller"
"Star Trek Into Darkness","Action"
"Star Trek Into Darkness","Adventure"
"Star Trek Into Darkness","Science Fiction"
"Jack the Giant Slayer","Action"
"Jack the Giant Slayer","Family"
"Jack the Giant Slayer","Fantasy"
"The Great Gatsby","Drama"
"The Great Gatsby","Romance"
"Pacific Rim","Action"
"Pacific Rim","Science Fiction"
"Pacific Rim","Adventure"
